query name,query,description
Memory Usage Percentage,100 - ((node_memory_MemAvailable_bytes{instance=$node,job=$job} * 100) / node_memory_MemTotal_bytes{instance=$node,job=$job}),s
Memory Apps,node_memory_MemTotal_bytes{instance=$node,job=$job} - node_memory_MemFree_bytes{instance=$node,job=$job} - node_memory_Buffers_bytes{instance=$node,job=$job} - node_memory_Cached_bytes{instance=$node,job=$job} - node_memory_Slab_bytes{instance=$node,job=$job} - node_memory_PageTables_bytes{instance=$node,job=$job} - node_memory_SwapCached_bytes{instance=$node,job=$job},used memory by applications
Memory Pagetables,node_memory_PageTables_bytes{instance=$node,job=$job},used memory for to map between virtual and physical memory address
Memory Swap Cache,node_memory_SwapCached_bytes{instance=$node,job=$job},cache memory which is not processed yet
Memory Slab,'node_memory_Slab_bytes{instance=$node,job=$job}',Memory used by the kernel to cache data structures for its own use (caches like inode, dentry, etc)
Memory Cache,'node_memory_Cached_bytes{instance=$node,job=$job}',cache parked file data
Memory Buffer,'node_memory_Buffers_bytes{instance=$node,job=$job}',Block device(eg. Hard Disk) cache
Free Memory,'node_memory_MemFree_bytes{instance=$node,job=$job}',Free memory
Swap Space Used,'(node_memory_SwapTotal_bytes{instance=$node,job=$job} - node_memory_SwapFree_bytes{instance=$node,job=$job})',Swap space used
Swap Used Percentage,'((node_memory_SwapTotal_bytes{instance=$node,job=$job} - node_memory_SwapFree_bytes{instance=$node,job=$job}) / (node_memory_SwapTotal_bytes{instance=$node,job=$job} )) * 100',swap usage percentage
Hardware Corrupted,'node_memory_HardwareCorrupted_bytes{instance=$node,job=$job}',Amount Of Ram Kernel identified as corrupted not working
Cpu Mode System Load,'sum by(instance) (irate(node_cpu_seconds_total{instance=$node,job=$job, mode=system}[$__rate_interval])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$node,job=$job}[$__rate_interval])))',Processes executing in kernel mode
Cpu Mode User Load,'sum by(instance) (irate(node_cpu_seconds_total{instance=$node,job=$job, mode=user}[$__rate_interval])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$node,job=$job}[$__rate_interval])))',Processes executing in user mode e.g. applications
Cpu Mode Nice Load,'sum by(instance) (irate(node_cpu_seconds_total{instance=$node,job=$job, mode=nice}[$__rate_interval])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$node,job=$job}[$__rate_interval])))',Executed Niced processes by cpu
Cpu Mode IOwait Load,'sum by(instance) (irate(node_cpu_seconds_total{instance=$node,job=$job, mode=iowait}[$__rate_interval])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$node,job=$job}[$__rate_interval])))',Cpu proportion waiting for I/O to complete
Cpu Mode IRQ load,'sum by(instance) (irate(node_cpu_seconds_total{instance=$node,job=$job, mode=irq}[$__rate_interval])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$node,job=$job}[$__rate_interval])))',Cpu propotion Servicing interrupts
Cpu Mode SoftIRQ load,'sum by(instance) (irate(node_cpu_seconds_total{instance=$node,job=$job, mode=softirq}[$__rate_interval])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$node,job=$job}[$__rate_interval])))',processing software interrupts
Cpu Mode Steal load,'sum by(instance) (irate(node_cpu_seconds_total{instance=$node,job=$job, mode=steal}[$__rate_interval])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$node,job=$job}[$__rate_interval])))',Time spent in other OS when running a VM
Cpu Mode Idle,sum by(instance) (irate(node_cpu_seconds_total{instance=$node,job=$job, mode=idle}[$__rate_interval])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$node,job=$job}[$__rate_interval]))),Time Spent while cpu is sitting idle
Cpu Busy(Used Percentage),'(sum by(instance) (irate(node_cpu_seconds_total{instance=$node,job=$job, mode!=idle}[$__rate_interval])) / on(instance) group_left sum by (instance)((irate(node_cpu_seconds_total{instance=$node,job=$job}[$__rate_interval])))) * 100',Cpu used percentage
Disk Reads Completed,'irate(node_disk_reads_completed_total{instance=$node,job=$job}[$__rate_interval])',vda reads completed
Disk Writes Completed,'irate(node_disk_writes_completed_total{instance=$node,job=$job}[$__rate_interval])',vda writes comleted
Disk Read Megabytes,'irate(node_disk_read_bytes_total{instance=$node,job=$job}[$__rate_interval])/(1024*1024)',Read Mbs
